PID,Time,TrialIndex,Visualisation,PosX,PosY,PosZ,RotY
2,463.7004,0,1,7.769034,2.770235,-4.794612,115.2523
2,463.8116,0,1,7.636592,2.770443,-4.633716,116.9511
2,463.9226,0,1,7.606613,2.770656,-4.431367,120.5377
2,464.0335,0,1,7.665801,2.770881,-4.241044,125.9515
2,464.1448,0,1,7.782594,2.771405,-4.075776,131.4423
2,464.2553,0,1,7.909272,2.77128,-3.967175,135.9123
2,464.3668,0,1,7.906415,2.77086,-3.975553,141.3227
2,464.4779,0,1,7.899559,2.770322,-3.98507,148.9452
2,464.5896,0,1,7.890864,2.77002,-3.993115,156.0675
2,464.7014,0,1,7.885808,2.770036,-3.997479,160.0578
2,464.8127,0,1,7.885326,2.769515,-3.997817,160.1426
2,464.9241,0,1,7.886473,2.769157,-3.995542,158.7884
2,465.0351,0,1,7.896222,2.768973,-4.007751,158.9581
2,465.1463,0,1,7.977934,2.768906,-4.177649,160.2555
2,465.2573,0,1,8.020694,2.768996,-4.342311,160.4487
2,465.3686,0,1,8.019217,2.768764,-4.340529,160.3524
2,465.4798,0,1,8.018252,2.768917,-4.33826,159.7314
2,465.5909,0,1,8.025946,2.769037,-4.370814,159.3132
2,465.7019,0,1,8.090709,2.769346,-4.539023,158.7726
2,465.8128,0,1,8.089909,2.769814,-4.537904,158.5227
2,465.924,0,1,8.089787,2.769572,-4.537005,158.0826
2,466.0903,1,1,-0.2171378,2.802818,13.62018,157.593
2,466.2015,1,1,-0.2165127,2.802842,13.6197,157.4217
2,466.3131,1,1,-0.2162547,2.802652,13.61877,157.9739
2,466.424,1,1,-0.216711,2.802552,13.61804,158.859
2,466.5349,1,1,-0.2157326,2.803449,13.61881,159.0099
2,466.6457,1,1,-0.2137246,2.810933,13.6195,159.7939
2,466.7569,1,1,-0.2118635,2.815844,13.61977,163.5433
2,466.8678,1,1,-0.2107553,2.818322,13.61813,170.8219
2,466.9785,1,1,-0.2168579,2.81755,13.61728,178.2369
2,467.0897,1,1,-0.2345562,2.820073,13.61564,183.2976
2,467.2011,1,1,-0.2601566,2.823309,13.61102,188.0319
2,467.3126,1,1,-0.2813759,2.825484,13.60186,189.8041
2,467.4231,1,1,-0.3229661,2.796601,13.49143,190.0965
2,467.5342,1,1,-0.3340845,2.782782,13.2668,189.2817
2,467.6453,1,1,-0.3229551,2.783239,13.04417,188.0506
2,467.7564,1,1,-0.2979674,2.783868,12.82512,185.7518
2,467.8675,1,1,-0.2628813,2.783994,12.60744,184.6582
2,467.9784,1,1,-0.2103972,2.784397,12.39378,183.0383
2,468.0893,1,1,-0.1410837,2.783094,12.18655,180.0914
2,468.2009,1,1,-0.04829884,2.784911,11.98609,174.1087
2,468.3121,1,1,0.07188129,2.785911,11.80173,168.2689
2,468.423,1,1,0.202961,2.787113,11.62815,165.0522
2,468.5342,1,1,0.3291378,2.786376,11.45403,164.966
2,468.6453,1,1,0.4489455,2.785663,11.27936,165.6013
2,468.7565,1,1,0.5458765,2.785451,11.09458,167.3932
2,468.8676,1,1,0.5518403,2.784762,10.88721,169.2093
2,468.9788,1,1,0.5133355,2.784833,10.67977,170.9743
2,469.09,1,1,0.4689479,2.784116,10.47029,173.6998
2,469.2015,1,1,0.4232776,2.784697,10.26207,174.2542
2,469.313,1,1,0.3799238,2.785608,10.05426,174.292
2,469.4242,1,1,0.355206,2.785478,9.845077,173.8306
2,469.5352,1,1,0.409627,2.785941,9.641972,172.9273
2,469.6466,1,1,0.489583,2.786261,9.445736,172.3852
2,469.7574,1,1,0.5751975,2.786123,9.252961,171.3411
2,469.8685,1,1,0.69365,2.785725,9.076866,168.0614
2,469.9789,1,1,0.832736,2.785175,8.916855,164.1295
2,470.0901,1,1,0.9984632,2.784166,8.785295,162.47
2,470.2012,1,1,1.172958,2.782614,8.668046,163.2814
2,470.3122,1,1,1.340643,2.782002,8.543497,164.7281
2,470.4234,1,1,1.477749,2.78129,8.384626,165.1949
2,470.5348,1,1,1.612994,2.781276,8.223808,165.9684
2,470.646,1,1,1.647072,2.780576,8.028259,167.0946
2,470.7574,1,1,1.605737,2.780195,7.820157,168.0095
2,470.8688,1,1,1.572805,2.779751,7.611293,169.1268
2,470.9795,1,1,1.58313,2.779569,7.402597,171.0367
2,471.0908,1,1,1.667477,2.778946,7.208599,173.0401
2,471.2018,1,1,1.739908,2.780087,7.01192,179.2981
2,471.313,1,1,1.77959,2.782095,6.806146,187.6848
2,471.424,1,1,1.794421,2.782595,6.597322,194.1744
2,471.535,1,1,1.792489,2.782464,6.387434,198.8828
2,471.6458,1,1,1.781079,2.782789,6.177943,201.9924
2,471.7567,1,1,1.779233,2.782862,5.967765,205.9482
2,471.8678,1,1,1.783857,2.783037,5.759256,212.1807
2,471.9787,1,1,1.783169,2.782536,5.550411,214.5523
2,472.0902,1,1,1.780154,2.781345,5.339297,215.1038
2,472.2013,1,1,1.767777,2.780276,5.128359,214.7599
2,472.3131,1,1,1.732878,2.7805,4.918798,214.355
2,472.4236,1,1,1.695835,2.780026,4.713074,214.4487
2,472.5344,1,1,1.659454,2.780101,4.505862,214.2236
2,472.6453,1,1,1.621153,2.780147,4.29842,213.7767
2,472.7564,1,1,1.581464,2.779037,4.091396,214.0362
2,472.8669,1,1,1.540993,2.778602,3.884489,213.9319
2,472.9775,1,1,1.49916,2.778983,3.67706,213.63
2,473.0886,1,1,1.45007,2.778485,3.470702,213.5975
2,473.1994,1,1,1.399496,2.77785,3.265531,213.5301
2,473.3104,1,1,1.330355,2.778384,3.065812,213.3374
2,473.4214,1,1,1.257597,2.777994,2.867241,213.4632
2,473.5327,1,1,1.184008,2.778272,2.668241,213.4114
2,473.6442,1,1,1.109644,2.778012,2.469598,213.6609
2,473.7552,1,1,1.036007,2.777474,2.271374,213.5723
2,473.8663,1,1,0.9645863,2.777547,2.072726,213.4991
2,473.9774,1,1,0.8897023,2.777634,1.875869,214.1143
2,474.0882,1,1,0.8141286,2.776818,1.679581,214.1711
2,474.1997,1,1,0.7386017,2.776386,1.482198,214.1384
2,474.3105,1,1,0.6643262,2.776701,1.285895,214.0509
2,474.4216,1,1,0.5882819,2.776695,1.089945,214.6961
2,474.5329,1,1,0.5098906,2.776805,0.8940434,215.1481
2,474.6441,1,1,0.4302511,2.77639,0.698782,215.5862
2,474.7552,1,1,0.34834,2.776036,0.5051317,216.2072
2,474.8664,1,1,0.2365546,2.776214,0.3301306,218.0249
2,474.9774,1,1,0.04192877,2.775908,0.2459087,221.5754
2,475.0887,1,1,-0.1365519,2.776069,0.1376638,223.3707
2,475.1996,1,1,-0.2676897,2.775643,-0.02633286,224.3513
2,475.3107,1,1,-0.4046173,2.775547,-0.1861181,224.9838
2,475.422,1,1,-0.5647984,2.775692,-0.3244677,225.4435
2,475.5331,1,1,-0.6970739,2.774862,-0.4873934,224.9987
2,475.6444,1,1,-0.7916756,2.774682,-0.6779375,224.0501
2,475.7552,1,1,-0.8818645,2.774286,-0.86971,223.0275
2,475.8665,1,1,-0.9659109,2.774068,-1.065269,221.0588
2,475.9774,1,1,-1.043215,2.774158,-1.262832,219.3686
2,476.0886,1,1,-1.118415,2.77336,-1.460912,218.7266
2,476.1997,1,1,-1.194908,2.773021,-1.657409,218.9145
2,476.3109,1,1,-1.2754,2.773258,-1.851449,219.5851
2,476.4216,1,1,-1.37233,2.773048,-2.036538,220.946
2,476.5332,1,1,-1.531868,2.773202,-2.174539,222.9628
2,476.6443,1,1,-1.71494,2.77331,-2.284812,226.3889
2,476.7558,1,1,-1.918161,2.773167,-2.358426,231.7372
2,476.8668,1,1,-2.111547,2.772666,-2.350318,237.883
2,476.9778,1,1,-2.129622,2.772431,-2.341758,243.6108
2,477.089,1,1,-2.134775,2.774282,-2.340421,248.3047
2,477.2004,1,1,-2.138274,2.777394,-2.344197,253.7308
2,477.3114,1,1,-2.144889,2.778849,-2.339034,262.5052
