PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
7,1583.389,41,5,6,4.020796,4.020796,0.5768453,18.70813,4
7,1599.033,42,1,7,2.235442,2.235442,0.6374002,15.64417,4
7,1619.515,43,3,3,4.865516,4.865516,0.6452403,20.48193,4
7,1631.158,44,2,1,5.737282,5.737282,0.6232273,11.64343,4
7,1646.322,45,0,4,355.9957,4.004303,0.5919946,15.16406,4
7,1666.157,46,4,9,358.7215,1.278534,0.5794322,19.83496,4
7,1685.364,47,4,5,3.310427,3.310427,0.5752727,19.20654,4
7,1714.487,48,3,0,2.986279,2.986279,0.5704225,29.12292,4
7,1753.18,49,2,0,1.291962,1.291962,0.7153128,38.69348,4
7,1899.543,50,1,0,6.207319,6.207319,0.9003605,18.01636,5
7,1915.666,51,4,6,5.489803,5.489803,1.71993,16.1228,5
7,1928.128,52,4,8,0.7233552,0.7233552,0.8205838,12.46216,5
7,1949.334,53,5,5,358.3585,1.641479,0.6374941,21.20642,5
7,1969.737,54,0,2,3.45901,3.45901,0.6547631,20.40308,5
7,1998.086,55,4,1,7.779439,7.779439,0.5790417,28.34924,5
7,2016.642,56,1,5,0.3335477,0.3335477,0.6484423,18.55591,5
7,2035.725,57,1,8,0.5754273,0.5754273,0.6358582,19.08301,5
7,2054.723,58,2,3,0.3763843,0.3763843,0.6463253,18.99805,5
7,2075.708,59,3,4,7.59612,7.59612,0.5506324,20.98486,5
8,433.6378,0,2,1,355.2452,4.754791,1.056826,13.87567,3
8,440.3873,1,3,1,356.0535,3.946533,0.8426265,6.749481,3
8,468.1904,2,5,1,359.1747,0.8252869,1.628841,27.80304,3
8,474.23,3,0,3,353.4006,6.599426,1.053385,6.039673,3
8,489.964,4,2,4,346.636,13.36404,1.857204,15.73392,3
8,503.6325,5,5,7,12.7061,12.7061,1.560559,13.66852,3
8,530.3248,6,5,6,330.1315,29.8685,2.087088,26.69229,3
8,542.1839,7,1,1,20.99301,20.99301,1.237308,11.85913,3
