PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation,DistanceTravelled,StraightLineDistance,NavDistance,Effectiveness,NavSpeed
51,266.6231,2,0,5,273.8514,86.14856,0.72696,12.06548,Arrow,10.47165122,8.241062983,8.241096,0.717569354,0.683030928
51,289.727,3,2,2,354.172,5.828033,0.5402859,23.10388,Arrow,29.22501165,24.06458722,25.60812,0.85775275,1.108390452
51,303.1351,4,0,9,332.7578,27.24225,0.933639,13.40811,Arrow,13.23246992,9.159872362,9.282323,0.630924087,0.69229168
51,325.4238,5,2,0,227.8476,132.1524,0.6908071,22.28873,Arrow,18.68569835,7.675431616,7.853677,0.383334343,0.352360902
51,330.9524,6,2,13,234.6305,125.3695,0.8234744,5.528595,Arrow,3.701769917,3.02061583,3.020715,0.593564875,0.546380229
51,629.4274,7,1,14,359.6062,0.3938293,0.9257255,25.85907,Lights,30.01310014,22.13832398,23.38436,0.748294391,0.904300116
51,702.6121,8,0,1,352.9796,7.020355,1.115806,73.18463,Lights,108.7355979,14.63824736,14.69847,0.124914603,0.200840942
51,735.4957,9,0,4,0.9469371,0.9469371,2.670596,32.88361,Lights,49.58063131,15.41171947,15.53732,0.259511097,0.472494352
51,774.9686,10,0,8,347.4659,12.53415,0.8748611,39.47296,Lights,64.3953646,13.75549821,14.28306,0.208216833,0.361844159
51,814.6736,11,2,15,6.953704,6.953704,1.885283,39.70496,Lights,50.11383429,17.61926428,19.35056,0.348512087,0.487358758
51,830.6874,12,0,11,0.5173469,0.5173469,2.665086,16.01379,Lights,12.95316113,10.81691564,10.81692,0.629331629,0.675475325
51,861.9213,13,2,12,343.3596,16.64035,1.88128,31.23395,Lights,48.26967272,16.24539704,16.37395,0.300243801,0.524235647
51,1099.553,14,2,16,184.0148,175.9852,1.628532,60.29407,Radar,97.38468469,14.0365272,14.78909,0.135139915,0.245282662
51,1142.513,15,1,16,191.2153,168.7847,2.427487,42.95911,Radar,77.43836623,12.21494573,12.73548,0.133112222,0.296455862
51,1198.147,16,2,6,182.4593,177.5407,1.70094,55.63477,Radar,76.41231008,13.80631808,13.83995,0.158861969,0.248764397
51,1214.508,17,1,2,181.7198,178.2802,1.708757,16.36084,Radar,17.21640768,10.33542442,10.61248,0.517164972,0.648651292
51,1278.221,18,0,0,187.2298,172.7702,2.782576,63.71265,Radar,107.6150256,22.48018073,22.77695,0.185795375,0.35749494
51,1293.892,19,2,14,193.9592,166.0408,2.261578,15.67078,Radar,22.4750627,6.303436762,6.361882,0.182437934,0.405970985
51,1338.393,20,0,6,187.5528,172.4472,2.580287,44.50171,Radar,76.93476553,8.102084491,8.382174,0.075413072,0.188356223
