PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation
6,735.1809,7,2,10,349.7553,10.24472,0.1907765,43.2923,Lights & Radar
6,774.7429,8,0,13,355.8339,4.166107,0.3192313,39.56201,Lights & Radar
6,797.8051,9,2,0,8.307687,8.307687,1.079437,23.06219,Lights & Radar
6,832.8864,10,2,2,10.69588,10.69588,0.2997789,35.08124,Lights & Radar
6,855.9031,11,2,9,9.221977,9.221977,2.283396,23.01672,Lights & Radar
6,866.8337,12,2,7,5.691964,5.691964,1.353056,10.9306,Lights & Radar
6,879.4572,13,1,6,1.095388,1.095388,2.196673,12.62347,Lights & Radar
6,1025.276,14,2,8,353.904,6.096008,0.49709,16.34601,Radar
6,1051.624,15,1,13,358.475,1.525024,0.1874194,26.3479,Radar
6,1075.357,16,2,15,343.7593,16.24069,0.1623202,23.73376,Radar
6,1083.526,17,1,9,6.423372,6.423372,1.267727,8.168701,Radar
6,1099.165,18,1,15,12.48061,12.48061,0.1879884,15.63904,Radar
6,1120.179,19,1,4,348.0216,11.97839,0.2994261,21.01416,Radar
6,1129.956,20,0,6,343.5909,16.40906,0.41044,9.776978,Radar
6,1350.509,21,2,14,12.03966,12.03966,0.81259,23.64551,Control
6,1374.073,22,1,16,183.3701,176.6299,0.6188925,23.56482,Control
6,1393.695,23,1,8,11.11077,11.11077,1.543431,19.62195,Control
6,1409.192,24,0,14,351.5008,8.499207,0.5986964,15.49707,Control
6,1430.06,25,1,14,3.372675,3.372675,0.4771808,20.86719,Control
6,1454.659,26,2,5,4.955245,4.955245,0.9333775,24.59949,Control
6,1469.52,27,0,4,3.203525,3.203525,2.224012,14.86108,Control
6,1663.151,28,0,11,291.3145,68.68552,0.4675086,21.51648,Arrow
6,1675.413,29,2,4,12.51695,12.51695,0.8651456,12.26172,Arrow
6,1695.37,30,1,0,15.21756,15.21756,0.7144904,19.95715,Arrow
6,1700.94,31,2,13,33.00189,33.00189,0.7729409,5.569458,Arrow
