PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation
7,1998.086,55,4,1,7.779439,7.779439,0.5790417,28.34924,Arrow & Lights
7,2016.642,56,1,5,0.3335477,0.3335477,0.6484423,18.55591,Arrow & Lights
7,2035.725,57,1,8,0.5754273,0.5754273,0.6358582,19.08301,Arrow & Lights
7,2054.723,58,2,3,0.3763843,0.3763843,0.6463253,18.99805,Arrow & Lights
7,2075.708,59,3,4,7.59612,7.59612,0.5506324,20.98486,Arrow & Lights
8,440.3873,1,3,1,356.0535,3.946533,0.8426265,6.749481,Lights
8,468.1904,2,5,1,359.1747,0.8252869,1.628841,27.80304,Lights
8,474.23,3,0,3,353.4006,6.599426,1.053385,6.039673,Lights
8,489.964,4,2,4,346.636,13.36404,1.857204,15.73392,Lights
8,503.6325,5,5,7,12.7061,12.7061,1.560559,13.66852,Lights
8,530.3248,6,5,6,330.1315,29.8685,2.087088,26.69229,Lights
8,542.1839,7,1,1,20.99301,20.99301,1.237308,11.85913,Lights
8,566.2905,8,3,4,334.6898,25.31024,0.7807614,24.10657,Lights
8,581.7924,9,1,7,348.5734,11.42657,1.748372,15.50195,Lights
8,692.7431,11,4,4,358.2136,1.786438,1.173441,8.266357,Radar
8,700.4487,12,4,0,1.429016,1.429016,0.9829278,7.705566,Radar
8,715.2269,13,5,8,3.553054,3.553054,0.9391221,14.77826,Radar
8,724.2523,14,1,4,357.8782,2.121765,0.7897378,9.02533,Radar
8,739.7787,15,3,3,347.2166,12.78336,0.7177241,15.52649,Radar
8,749.2222,16,2,5,6.216186,6.216186,0.9538965,9.44342,Radar
8,771.0836,17,5,2,346.0639,13.93607,0.7293907,21.86145,Radar
8,783.7887,18,1,0,8.961513,8.961513,0.817324,12.70508,Radar
8,799.4014,19,1,8,332.3922,27.60782,0.7573381,15.61273,Radar
8,878.0372,21,2,9,356.1013,3.898682,0.7012684,9.888367,Arrow
8,896.5762,22,5,5,2.729463,2.729463,1.007936,18.53894,Arrow
8,907.2133,23,3,5,18.98504,18.98504,0.7145604,10.63708,Arrow
8,915.6022,24,0,6,354.123,5.877045,0.749005,8.388916,Arrow
8,927.9337,25,1,3,357.3434,2.656647,0.7282003,12.33154,Arrow
8,936.6025,26,1,9,0.2333496,0.2333496,0.7036442,8.668762,Arrow
8,949.2766,27,1,6,358.4723,1.527679,0.752615,12.67413,Arrow
8,964.8478,28,4,6,355.2089,4.791107,0.7069613,15.57117,Arrow
8,981.7078,29,4,2,352.6082,7.391815,0.904974,16.85999,Arrow
8,1119.173,31,4,1,354.7656,5.234436,0.4738156,21.93164,Lights & Radar
8,1127.239,32,0,5,341.3269,18.67313,0.1253463,8.065918,Lights & Radar
8,1139.321,33,1,5,353.5071,6.492889,0.1699668,12.08252,Lights & Radar
8,1150.739,34,0,7,0.4305142,0.4305142,0.2258194,11.41797,Lights & Radar
8,1167.61,35,2,7,2.144233,2.144233,0.2499598,16.87109,Lights & Radar
