PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
5,57.05011,23,1,7,106.5854,106.5854,26.7065,0.2361221,4
5,57.29555,24,0,1,196.5304,163.4696,14.60406,0.2454414,4
5,57.54687,25,0,14,73.98262,73.98262,14.69579,0.2513237,4
5,57.78331,26,0,5,132.4904,132.4904,8.190974,0.2364426,4
5,58.00834,27,1,4,105.6025,105.6025,23.73575,0.225029,4
5,61.50583,28,0,2,213.2787,146.7213,5.491481,0.3473015,4
5,61.77256,29,2,9,254.2595,105.7405,28.43955,0.2667274,4
5,62.06318,30,1,11,142.9302,142.9302,15.45916,0.2906151,4
5,62.31278,31,2,6,233.7796,126.2204,13.66981,0.2496071,4
5,62.59047,32,0,4,94.07717,94.07717,15.39647,0.2776871,4
5,62.88014,33,0,9,256.8904,103.1096,9.104226,0.289669,4
5,63.11964,34,1,8,81.41467,81.41467,19.81934,0.239502,4
5,124.2434,35,2,8,271.1991,88.8009,5.899064,0.3333054,4
5,124.5475,36,0,6,113.2182,113.2182,8.118514,0.3040466,4
5,124.8002,37,1,9,202.869,157.131,6.14327,0.2527466,4
5,125.0616,38,0,8,71.33819,71.33819,13.82941,0.2614059,4
5,125.299,39,2,5,233.4702,126.5298,19.91859,0.2373199,4
5,125.5196,40,0,7,135.2784,135.2784,18.22382,0.2206268,4
5,125.7857,41,1,14,106.6118,106.6118,22.1619,0.2660828,4
5,139.7575,42,1,16,82.8556,82.8556,12.14372,0.248764,6
5,140.0213,43,1,0,82.77477,82.77477,30.01285,0.2638092,6
5,140.2569,44,2,0,126.3973,126.3973,7.444348,0.2355957,6
5,140.7155,45,1,12,95.66358,95.66358,19.16249,0.4586334,6
5,141.0212,46,1,5,107.2222,107.2222,15.96397,0.3056946,6
5,141.9514,47,1,6,83.9949,83.9949,16.34597,0.9302063,6
5,142.9511,48,2,13,66.27849,66.27849,3.020488,0.9996948,6
6,356.9347,0,0,3,1.784211,1.784211,0.8784276,19.86755,4
6,386.6079,1,1,10,354.5088,5.491211,0.8956018,29.67325,4
6,414.1103,2,1,12,356.7468,3.253204,0.8789439,27.50238,4
6,433.8855,3,0,9,16.95148,16.95148,0.9064295,19.77518,4
6,446.9098,4,2,3,350.5687,9.431274,0.9741848,13.02429,4
6,461.0545,5,1,1,12.17447,12.17447,0.8952901,14.14468,4
6,468.8849,6,0,2,19.47771,19.47771,0.9055137,7.830475,4
6,735.1809,7,2,10,349.7553,10.24472,0.1907765,43.2923,6
6,774.7429,8,0,13,355.8339,4.166107,0.3192313,39.56201,6
