PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,absError,DistanceFromSource,ResponseTime,Visualisation
48,1865.281,43,1,7,27.90505,27.90505,1.251859,24.11389,7
48,1889.145,44,0,8,359.0254,0.9746399,2.73718,23.86414,7
48,1902.496,45,0,14,266.434,93.56604,0.9255402,13.35095,7
48,1923.809,46,0,13,15.79555,15.79555,2.275753,21.31311,7
48,1931.448,47,1,9,321.2021,38.79788,2.02739,7.638916,7
48,1947.268,48,1,3,116.6209,116.6209,1.051113,15.8197,7
49,260.9427,0,2,13,180.2891,179.7109,2.963961,7.663788,5
49,309.216,1,1,15,357.195,2.804993,2.622685,48.27332,5
49,340.8965,2,1,4,354.7597,5.240295,3.227971,31.68054,5
49,364.6038,3,2,0,9.709829,9.709829,3.064583,23.70721,5
49,383.3401,4,1,9,5.473327,5.473327,1.733711,18.7363,5
49,412.4102,5,1,0,1.069953,1.069953,2.383851,29.0701,5
49,430.53,6,1,12,346.9475,13.05249,1.610738,18.11984,5
49,673.6714,7,2,9,348.05,11.95001,1.076343,30.20959,7
49,699.2009,8,2,3,333.901,26.099,1.124445,25.52954,7
49,742.1276,9,0,13,323.6154,36.38458,1.883538,42.92664,7
49,757.6747,10,1,1,359.3335,0.6665344,0.9854631,15.54718,7
49,778.5245,11,0,14,0.9287151,0.9287151,1.620415,20.84979,7
49,804.3838,12,0,10,329.6131,30.3869,0.4586168,25.85925,7
49,819.8171,13,0,3,351.4268,8.573181,1.37616,15.43329,7
49,1007.63,14,0,2,354.7977,5.202332,0.8686224,11.67743,3
49,1019.52,15,1,3,354.8873,5.112671,2.892514,11.89038,3
49,1072.847,16,0,6,1.157952,1.157952,2.784292,53.32666,3
49,1100.51,17,1,13,357.3717,2.628326,1.846401,27.66296,3
49,1116.062,18,0,1,354.5726,5.427429,1.429802,15.55225,3
49,1170.033,19,1,14,10.45879,10.45879,2.873843,53.97144,3
49,1205.032,20,2,16,357.5514,2.448608,1.352445,34.99854,3
50,81.01619,0,1,5,355.4256,4.574432,2.880701,19.58945,6
50,105.2438,1,2,11,3.835765,3.835765,2.605187,24.22756,6
50,120.6854,2,2,8,0.005951329,0.005951329,2.87833,15.44164,6
50,136.3648,3,2,10,357.2027,2.797302,2.071402,15.67938,6
50,158.2086,4,1,12,357.2345,2.765503,2.61561,21.84384,6
50,196.4299,5,2,2,352.6025,7.397461,1.677418,38.22124,6
50,210.137,6,1,15,3.403968,3.403968,2.412013,13.70712,6
50,370.0089,7,1,1,10.57736,10.57736,2.860559,27.92935,1
50,384.5149,8,2,16,12.34355,12.34355,2.670009,14.50601,1
50,401.2612,9,2,9,359.9945,0.005493164,1.625064,16.74631,1
50,410.0991,10,2,12,13.2562,13.2562,1.967297,8.837891,1
50,421.1576,11,2,5,4.938692,4.938692,1.172023,11.05847,1
50,428.0792,12,0,11,2.508322,2.508322,1.597521,6.921631,1
50,448.8568,13,1,0,359.2431,0.7568665,1.757467,20.77759,1
50,584.8565,14,0,9,9.454095,9.454095,2.082473,26.77966,4
50,612.0879,15,1,14,1.052888,1.052888,2.838969,27.23138,4
50,630.4131,16,1,7,359.8922,0.1078491,1.9432,18.3252,4
50,642.4544,17,0,7,4.925417,4.925417,2.177104,12.04132,4
50,652.4641,18,1,9,357.9584,2.041626,2.731829,10.0097,4
50,663.3574,19,2,7,359.8127,0.1872864,2.018552,10.89331,4
50,674.2202,20,0,1,356.931,3.06897,2.165229,10.86273,4
50,803.3566,21,1,13,355.261,4.738983,2.173064,29.64679,2
50,823.6046,22,1,8,359.2718,0.7281799,1.469281,20.24799,2
50,827.5338,23,0,3,358.325,1.674988,1.955905,3.929199,2
50,837.5745,24,1,16,355.224,4.77597,1.725166,10.04065,2
50,847.178,25,0,6,357.0332,2.966797,1.777754,9.603516,2
